GDA	Gda
SCNN1A	Scnn1a
SCN5A	Scn5a
DCLK1	Dclk1
GBA	Gba
OR1M1	Olfr24
GCG	Gcg
CUL4A	Cul4a
GCK	Gck
MEP1A	Mep1a
MEP1B	Mep1b
SCN4B	Scn4b
FAF2	Faf2
CUL4B	Cul4b
FAF1	Faf1
SCN4A	Scn4a
GCA	Gca
RAB3GAP2	Rab3gap2
IL6ST	Il6st
RAB3GAP1	Rab3gap1
NELL1	Nell1
FST	Fst
NELL2	Nell2
PPCS	Ppcs
NELF	Nelf
WWP2	Wwp2
WWP1	Wwp1
WWOX	Wwox
FTL	Ftl2
SGPL1	Sgpl1
C5AR2	C5ar2
C5AR1	C5ar1
FRY	Fry
PPBP	Ppbp
ACAP3	Acap3
ACAP1	Acap1
ACAP2	Acap2
NEK8	Nek8
ATP5C1	Atp5c1
OR2D2	Olfr715
NEK9	Nek9
CDCA7L	Cdca7l
NEK4	Nek4
NEK5	Nek5
MDH2	Mdh2
NEK6	Nek6
NEK7	Nek7
MDH1	Mdh1
FUS	Fus
OR2B6	Olfr11
NEK3	Nek3
NEK2	Nek2
NEK1	Nek1
LRRC75B	Lrrc75b
LRRC75A	Lrrc75a
ACAT2	Acat2
ACAT1	Acat1
PPAT	Ppat
FUZ	Fuz
NR1H2	Nr1h2
PPAN	Ppan
VRK1	Vrk1
VRK2	Vrk2
VRK3	Vrk3
MAML3	Maml3
NR1H4	Nr1h4
TYROBP	Tyrobp
OR2C1	Olfr15
NR1H3	Nr1h3
MDFI	Mdfi
OR2A2	Olfr444
OR2A5	Olfr448
OR2A4	Olfr13
TM2D1	Tm2d1
OR2A7	Olfr13
TM2D2	Tm2d2
MAML1	Maml1
MAML2	Maml2
FTO	Fto
ALMS1	Alms1
TM2D3	Tm2d3
AFG3L2	Afg3l2
PPA2	Ppa2
PPA1	Ppa1
TNKS1BP1	Tnks1bp1
NR1I3	Nr1i3
ZFHX4	Zfhx4
NR1I2	Nr1i2
SUPT16H	Supt16h
FUK	Fuk
ZFHX2	Zfhx2
ZFHX3	Zfhx3
OR2B2	Olfr1360
STEAP3	Steap3
OR10A5	Olfr713
STEAP4	Steap4
IER3IP1	Ier3ip1
OR10A4	Olfr17
OR10A2	Olfr714
EID2B	Eid2b
MITD1	Mitd1
FXN	Fxn
PIEZO1	Piezo1
PIEZO2	Piezo2
LRRC74B	Lrrc74b
LRRC74A	Lrrc74a
SIGMAR1	Sigmar1
LOC728763	E030010N08Rik
OR2H2	Olfr90
OR2H1	Olfr91
STEAP2	Steap2
STEAP1	Steap1
MON1B	Mon1b
MON1A	Mon1a
PARD3	Pard3
NEO1	Neo1
NR1D1	Nr1d1
MDC1	Mdc1
IL10RB	Il10rb
NR1D2	Nr1d2
IL10RA	Il10ra
NENF	Nenf
NEMF	Nemf
FYB	Fyb
TEX9	Tex9
BLVRA	Blvra
OR2F2	Olfr452
OR2F1	Olfr453
TEX2	Tex2
MEOX2	Meox2
FYN	Fyn
MEOX1	Meox1
BLVRB	Blvrb
7-Sep	7-Sep
ATP5A1	Atp5a1
CFAP65	Cfap65
APOBEC3F	Apobec3
CFAP69	Cfap69
APOBEC3B	Apobec3
TTC21A	Ttc21a
FA2H	Fa2h
CFAP77	1700101E01Rik
RAI14	Rai14
CFAP70	Cfap70
SEC61B	Sec61b
CFAP74	Cfap74
CFAP73	Cfap73
LSAMP	Lsamp
MCMBP	Mcmbp
PYGO1	Pygo1
PYGO2	Pygo2
SEC61G	Sec61g
ANTXRL	Antxrl
COPS7A	Cops7a
COPS7B	Cops7b
GFM2	Gfm2
TAGAP	Tagap
MDP1	Mdp1
GFM1	Gfm1
OR10C1	Olfr95
FN1	Fn1
TESC	Tesc
OOEP	Ooep
SPTBN5	Spnb5
TTC21B	Ttc21b
SPTBN4	Sptbn4
NTPCR	Ntpcr
UBOX5	Ubox5
TET2	Tet2
TET1	Tet1
CFAP97	Cfap97
PLEKHA4	Plekha4
PPIF	Ppif
PLEKHA3	Plekha3
PPIE	Ppie
PLEKHA6	Plekha6
TET3	Tet3
PPIH	Ppih
PLEKHA5	Plekha5
PPIG	Ppig
PPIB	Ppib
PLEKHA8	Plekha8
PPIA	Ppia
FLG	Flg
PLEKHA7	Plekha7
PPID	Ppid
PPIC	Ppic
NELFA	Nelfa
SPTBN2	Spnb3
NELFB	Nelfb
SPTBN1	Sptbn1
ANTXR2	Antxr2
ANTXR1	Antxr1
NELFE	Nelfe
SCMH1	Scmh1
PHPT1	Phpt1
PLEKHA2	Plekha2
PLEKHA1	Plekha1
ARMT1	Armt1
TERB1	Terb1
TERB2	Terb2
SGPP1	Sgpp1
SGPP2	Sgpp2
PPOX	Ppox
CBFA2T3	Cbfa2t3
CBFA2T2	Cbfa2t2
PLEKHB2	Plekhb2
EXOC3L4	Exoc3l4
FOS	Fos
PLEKHB1	Plekhb1
EXOC3L1	Exoc3l
EXOC3L2	Exoc3l2
ACOT11	Acot11
ACOT12	Acot12
ACOT13	Acot13
OSTalpha	Osta
MDN1	Mdn1
TERT	Tert
TTC23L	Ttc23l
NLRP6	Nlrp6
NLRP5	Nlrp5
PARM1	Parm1
CAMK1G	Camk1g
PPAP2C	Ppap2c
RALBP1	Ralbp1
NLRP9	Nlrp9b
OR10J5	Olfr16
NLRP3	Nlrp3
NLRP2	Nlrp2
OR10J1	Olfr1406
NLRP1	Nlrp1b
ZMIZ2	Zmiz2
ZMIZ1	Zmiz1
MDM2	Mdm2
MDM4	Mdm4
MDM1	Mdm1
CAMK1D	Camk1d
LOC100133267	Defb47
CUEDC2	Cuedc2
FRK	Frk
ENDOV	Endov
CAMK2G	Camk2g
ENDOU	Endou
TIPARP	Tiparp
BORCS5	Borcs5
BORCS6	Borcs6
BORCS7	Borcs7
OR10G4	Olfr980
BORCS8	2310045N01Rik
OR10G3	Olfr1512
PLEKHD1	Plekhd1
OR10G7	Olfr978
OR10G9	Olfr979
CAMK2D	Camk2d
HINFP	Hinfp
TEPP	Tepp
NEFH	Nefh
CAMK2B	Camk2b
GFI1	Gfi1
PPAP2A	Ppap2a
CAMK2A	Camk2a
NEFL	Nefl
PPAP2B	Ppap2b
PPWD1	Ppwd1
NEFM	Nefm
OR10H1	Gm4461
PARK2	Park2
OR10H4	Olfr63
OR10H3	Olfr63
AMMECR1L	Ammecr1l
PARK7	Park7
OR10H2	Olfr55
ATXN1	Atxn1
ATXN2	Atxn2
ATXN3	Atxn3
ENDOG	Endog
ATXN7	Atxn7
PECAM1	Pecam1
TEP1	Tep1
CUEDC1	Cuedc1
BMPR1B	Bmpr1b
BMPR1A	Bmpr1a
RPL18	Rpl18
RPL17	Rpl17
RPL19	Rpl19
RPL14	Rpl14
RPL13	Rpl13
RPL15	Rpl15
ACBD7	Acbd7
ACBD6	Acbd6
ACBD5	Acbd5
ACBD4	Acbd4
ACBD3	Acbd3
MALL	Mall
AIF1L	Aif1l
RPL10	Rpl10
RPL11	Rpl11
RPL12	Rpl12
AUP1	Aup1
PTPRJ	Ptprj
OR2S2	Olfr155
OPA3	Opa3
PTPRK	Ptprk
OPA1	Opa1
PTPRM	Ptprm
PTPRF	Ptprf
PTPRG	Ptprg
FAM108C1	Fam108c
PTPRH	Ptprh
PTPRR	Ptprr
PTPRS	Ptprs
PTPRT	Ptprt
PTPRU	Ptpru
PTPRN	Ptprn
PTPRO	Ptpro
PTPRQ	Ptprq
OR10K2	Olfr370
FAM108B1	Fam108b
ATP5SL	Atp5sl
ACADSB	Acadsb
SDHAF4	Sdhaf4
OR2T1	Olfr31
HFE	Hfe
PPT2	Ppt2
PPT1	Ppt1
SDHAF3	Sdhaf3
TEN1	Ten1
SDHAF2	Sdhaf2
SDHAF1	Sdhaf1
MANF	Manf
URGCP	Urgcp
PVRL4	Pvrl4
PVRL1	Pvrl1
PVRL3	Pvrl3
PVRL2	Pvrl2
OR2T6	Olfr720
UNC45B	Unc45b
MEPCE	Mepce
UNC45A	Unc45a
RANBP17	Ranbp17
NPLOC4	Nploc4
FAM108A1	Fam108a
MAOA	Maoa
MAOB	Maob
HGD	Hgd
RNF212B	Rnf212b
HGF	Hgf
HSPA12A	Hspa12a
HSPA12B	Hspa12b
MAP2	Map2
FAM90A12P	C86695
MAP4	Map4
HGS	Hgs
NUTF2	Nutf2
MAP7	Map7
MAP6	Map6
MAP9	Map9
RANBP10	Ranbp10
HLF	Hlf
ASPDH	Aspdh
UFC1	Ufc1
OR2V1	Olfr56
OR2V2	Olfr1396
COPB2	Copb2
POMGNT1	Pomgnt1
ADCK1	Adck1
LOC645177	Lrmp
POMGNT2	Pomgnt2
ADCK2	Adck2
MAPT	Mapt
HLX	Hlx
COPB1	Copb1
ADCK3	Adck3
ADCK4	Adck4
ADCK5	Adck5
ARHGEF4	Arhgef4
ARHGEF3	Arhgef3
ARHGEF2	Arhgef2
ARHGEF1	Arhgef1
ARHGEF7	Arhgef7
GMEB2	Gmeb2
ARHGEF6	Arhgef6
ARHGEF5	Arhgef5
GMEB1	Gmeb1
UFD1	Ufd1
HN1	Hn1
ARHGEF9	Arhgef9
OR2W3	Olfr179
SGK110	Gm1078
OR2W1	Olfr263
RPL41	Rpl41
CYBRD1	Cybrd1
RPL3L	Rpl3l
GANAB	Ganab
GNG13	Gng13
RPL35	Rpl35
HK2	Hk2
RPL36	Rpl36
HK1	Hk1
NLRX1	Nlrx1
RPL37	Rpl37
GNG11	Gng11
RPL38	Rpl38
GNG12	Gng12
RPL39	Rpl39
RPL30	Rpl30
BBIP1	Bbip1
MTCP1NB	Mtcp1
HPSE2	Hpse2
RPL32	Rpl32
RPL31	Rpl31
RPL34	Rpl34
SPAG11B	Spag11b
HK3	Hk3
SPAG11A	Spag11b
SLC4A8	Slc4a8
MAS1	Mas1
SLC4A7	Slc4a7
SLC4A9	Slc4a9
RANBP3L	Ranbp3l
MARS	Mars
RPL26	Rpl26
EXPH5	Exph5
RPL27	Rpl27
RPL24	Rpl24
RPL28	Rpl28
RPL23	Rpl23
RPL22	Rpl22
RPL21	Rpl21
GNG10	Gng10
BNIP3L	Bnip3l
OR10Q1	Olfr1494
CTNNAL1	Ctnnal1
MAU2	Mau2
CAPZA3	Capza3
NUTM1	Nutm1
CAPZA2	Capza2
CAPZA1	Capza1
SH2D7	Sh2d7
SH2D5	Sh2d5
SH2D6	Sh2d6
LONRF3	Lonrf3
SLC51B	Slc51b
SLC51A	Slc51a
LONRF1	Lonrf1
LONRF2	Lonrf2
MATK	Matk
BPIFA2	Bpifa2
PHRF1	Phrf1
BPIFA3	Bpifa3
OR10S1	Olfr982
BPIFA1	Bpifa1
HAL	Hal
OR2K2	Olfr267
TECR	Tecr
JUNB	Junb
NFU1	Nfu1
COPG2	Copg2
COPG1	Copg1
SRXN1	Srxn1
MAVS	Mavs
OR2L5	Olfr167
BPIFB1	Bpifb1
BPIFB2	Bpifb2
BPIFB3	Bpifb3
BPIFB4	Bpifb4
BPIFB6	Bpifb6
CNTFR	Cntfr
OR2L2	Olfr167
SLC48A1	Slc48a1
JUND	Jund
RPL7A	Rpl7a
LYSMD2	Lysmd2
LYSMD1	Lysmd1
LYSMD4	Lysmd4
OR10W1	Olfr1490
LYSMD3	Lysmd3
ATP5J2	Atp5j2
GAREM2	Garem2
1-Sep	1-Sep
GAREM1	Garem1
OR2M3	Olfr165
TEFM	Tefm
ZC2HC1C	Zc2hc1c
ZC2HC1A	Zc2hc1a
ZC2HC1B	Zc2hc1b
OR10V1	Olfr1420
DUOX2	Duox2
PIP5K1B	Pip5k1b
WWC1	Wwc1
DUOX1	Duox1
PIP5K1C	Pip5k1c
WWC2	Wwc2
PIP5K1A	Pip5k1a
HDX	Hdx
CCRL2	Ccrl2
HDC	Hdc
CABLES2	Cables2
CSF2RB	Csf2rb
IPMK	Ipmk
CSF2RA	Csf2ra
CABLES1	Cables1
CCRL1	Ccrl1
NFX1	Nfx1
CSHL1	Gh
IPO9	Ipo9
IPO8	Ipo8
UFL1	Ufl1
ACADVL	Acadvl
SGK196	4930444A02Rik
IPO7	Ipo7
IPO4	Ipo4
IPO5	Ipo5
OR10X1	Olfr417
BTAF1	Btaf1
NR3C2	Nr3c2
NFYC	Nfyc
ATP5G2	Atp5g2
NFYB	Nfyb
NR3C1	Nr3c1
NFYA	Nfya
ATP5G1	Atp5g1
ESYT2	Esyt2
ATP5G3	Atp5g3
ESYT1	Esyt1
ESYT3	Esyt3
UFM1	Ufm1
SAPCD1	Sapcd1
SAPCD2	Sapcd2
SH2B3	Sh2b3
SH2B2	Sh2b2
A4GNT	A4gnt
SH2B1	Sh2b1
SCLT1	Sclt1
CNTD1	Cntd1
HCK	Hck
SAAL1	Saal1
ATP5F1	Atp5f1
DACH1	Dach1
TRANK1	Trank1
OR10Z1	Olfr419
DACH2	Dach2
HBZ	Hba-x
ZRANB2	Zranb2
ZRANB1	Zranb1
MIS18BP1	Mis18bp1
ZRANB3	Zranb3
TBL1X	Tbl1x
IPPK	Ippk
THEMIS2	Themis2
ADCY3	Adcy3
ADCY4	Adcy4
ADCY1	Adcy1
ADCY2	Adcy2
QPCTL	Qpctl
ADCY7	Adcy7
ADCY8	Adcy8
ADCY5	Adcy5
OVCH2	Ovch2
ADCY6	Adcy6
TAF7L	Taf7l
DUPD1	Dupd1
GET4	Get4
MEI1	Mei1
RTBDN	Rtbdn
MEI4	Mei4
PSKH1	Pskh1
CCSAP	Ccsap
DEPDC1B	Depdc1b
ZRSR2	Zrsr2
HCAR2	Hcar2
HCAR1	Hcar1
DEPDC7	Depdc7
DEPDC1	Depdc1a
TAF6L	Taf6l
DEPDC5	Depdc5
CRCT1	Crct1
KIAA0947	BC018507
TAF9B	Taf9b
KIAA0930	5031439G07Rik
FCER1G	Fcer1g
FCER1A	Fcer1a
ADPRM	Adprm
ANKMY2	Ankmy2
ANKMY1	Ankmy1
ADPRH	Adprh
CHCHD10	Chchd10
PSORS1C2	Psors1c2
KIAA0922	D930015E06Rik
IL5RA	Il5ra
COPS2	Cops2
COPS5	Cops5
HIP1R	Hip1r
COPS6	Cops6
COPS3	Cops3
COPRS	Coprs
COPS4	Cops4
COPS9	Cops9
OR11A1	Olfr96
COPS8	Cops8
CAMKK1	Camkk1
CAMKK2	Camkk2
TTC30A	Ttc30a1
RESP18	Resp18
TTC30B	Ttc30b
NR2F6	Nr2f6
DOCK10	Dock10
NR2F2	Nr2f2
DOCK11	Dock11
NR2F1	Nr2f1
GEN1	Gen1
MED6	Med6
MED7	Med7
MED4	Med4
MED8	Med8
MED9	Med9
AVEN	Aven
MECR	Mecr
MED1	Med1
PLEK2	Plek2
NFS1	Nfs1
HPRT1	Hprt
MEFV	Mefv
NUTM2A	Nutm2
OPN5	Opn5
ADCY9	Adcy9
OPN3	Opn3
OPN4	Opn4
MAEA	Maea
TDRP	Tdrp
ARNT2	Arnt2
MAEL	Mael
MAF1	Maf1
KLHL4	Klhl4
KLHL3	Klhl3
KLHL2	Klhl2
KLHL1	Klhl1
GP9	Gp9
KLHL7	Klhl7
KLHL8	Klhl8
GP5	Gp5
KLHL5	Klhl5
GP6	Gp6
KLHL6	Klhl6
DYSF	Dysf
COQ8B	Coq8b
KLHL9	Klhl9
COQ8A	Coq8a
GP2	Gp2
SUPT20H	Supt20
SLC4A2	Slc4a2
PARD3B	Pard3b
SLC4A1	Slc4a1
SLC4A4	Slc4a4
SLC4A3	Slc4a3
SLC4A5	Slc4a5
IQCK	Iqck
MADD	Madd
ARNTL	Arntl
MEPE	Mepe
GNS	Gns
IQCH	Iqch
IQCG	Iqcg
IQCJ	Iqcj
IQCD	Iqcd
BTNL10	Btnl10
IQCC	Iqcc
OR2Z1	Olfr372
IQCE	Iqce
COPZ2	Copz2
GNE	Gne
COPZ1	Copz1
DSCAML1	Dscaml1
OR11G2	Olfr744
PTPLB	Ptplb
SLC30A1	Slc30a1
PTPLA	Ptpla
SLC30A4	Slc30a4
SLC30A5	Slc30a5
SLC30A2	Slc30a2
SLC30A3	Slc30a3
GML	Gml
AXIN2	Axin2
SLC30A8	Slc30a8
SLC30A9	Slc30a9
SLC30A6	Slc30a6
SLC30A7	Slc30a7
AXIN1	Axin1
MEST	Mest
MAFG	Mafg
PARD6A	Pard6a
PTPN7	Ptpn7
PTPN6	Ptpn6
MAFF	Maff
PARD6B	Pard6b
PTPN9	Ptpn9
NFE2	Nfe2
PTPN3	Ptpn3
PTPN2	Ptpn2
MAFB	Mafb
PTPN5	Ptpn5
PTPN4	Ptpn4
OR11H4	Olfr749
MAFK	Mafk
HIST2H3C	Hist1h3b
DYTN	Dytn
CAMKMT	Camkmt
UPK3BL1	Upk3bl
GLS	Gls
OR11H6	Olfr745
OVCA2	Ovca2
MAFA	Mafa
PTPN1	Ptpn1
PARD6G	Pard6g
KIAA0913	2310021P13Rik
ECHDC1	Echdc1
ECHDC2	Echdc2
ECHDC3	Echdc3
TPBGL	Tpbgl
SPICE1	Spice1
MEN1	Men1
GSS	Gss
GSR	Gsr
TDO2	Tdo2
GSN	Gsn
FTSJ1	Ftsj1
TTC39C	Ttc39c
FTSJ2	Ftsj2
IFNGR2	Ifngr2
FTSJ3	Ftsj3
IFNGR1	Ifngr1
TTC39B	Ttc39b
TTC39A	Ttc39a
KIAA0907	2810403A07Rik
GSC	Gsc
RASL12	Rasl12
GRP	Grp
BVES	Bves
GRN	Grn
BUB1B	Bub1b
HAGHL	Haghl
MELK	Melk
MAL2	Mal2
RTN4RL1	Rtn4rl1
ADPGK	Adpgk
RSAD2	Rsad2
NFIX	Nfix
RSAD1	Rsad1
4-Mar	4-Mar
DROSHA	Drosha
SH3GLB2	Sh3glb2
SH3GLB1	Sh3glb1
RTN4RL2	Rtn4rl2
BAHD1	Bahd1
RCSD1	Rcsd1
PTPRB	Ptprb
PTPRC	Ptprc
PTPRD	Ptprd
PLET1	Plet1
PTPRE	Ptpre
OR11L1	Olfr323
PTPRA	Ptpra
GPI	Gpi1
OR3A3	Olfr411
TDP2	Tdp2
TDP1	Tdp1
OR3A1	Olfr402
GPT	Gpt
NFIC	Nfic
NFIA	Nfia
SPTAN1	Sptan1
NFIB	Nfib
SGMS2	Sgms2
SGMS1	Sgms1
AGTR1	Agtr1a
AGTR2	Agtr2
MC1R	Mc1r
CCR10	Ccr10
ILK	Ilk
PATZ1	Patz1
INA	Ina
F8	F8
F9	F9
F7	F7
CD320	Cd320
F5	F5
F3	F3
PRKRIP1	Prkrip1
MC2R	Mc2r
F2	F2
MADCAM1	Madcam1
ARL8A	Arl8a
ARL8B	Arl8b
SLC30A10	Slc30a10
GC	Gc
PABPC5	Pabpc5
PABPC4	Pabpc4
PPYR1	Ppyr1
AHCTF1	Ahctf1
IL17C	Il17c
SULT4A1	Sult4a1
PEA15	Pea15a
IL17D	Il17d
SGK223	D8Ertd82e
IL17A	Il17a
IL17B	Il17b
INS	Ins2
IL17F	Il17f
MTCP1	Mtcp1
PABPC1	Pabpc1
FH	Fh1
LAPTM4B	Laptm4b
LAPTM4A	Laptm4a
VDAC2	Vdac2
VDAC3	Vdac3
VDAC1	Vdac1
TSPO2	Tspo2
MCPH1	Mcph1
GHDC	Ghdc
GK	Gk
OPRM1	Oprm1
KCNAB3	Kcnab3
KCNAB2	Kcnab2
KCNAB1	Kcnab1
DPP10	Dpp10
ARL5A	Arl5a
NCCRP1	Nccrp1
MC5R	Mc5r
ARL5C	Arl5c
ARL5B	Arl5b
KDELR1	Kdelr1
IHH	Ihh
KDELR3	Kdelr3
KDELR2	Kdelr2
HYAL1	Hyal1
HIST1H1E	Hist1h1e
HYAL2	Hyal2
AR	Ar
HIST1H1D	Hist1h1d
HYAL3	Hyal3
HIST1H1C	Hist1h1c
HIST1H1B	Hist1h1b
HIST1H1A	Hist1h1a
CNPY3	Cnpy3
CNPY2	Cnpy2
CNPY1	Cnpy1
PKDCC	Pkdcc
OSTM1	Ostm1
HYAL4	Hyal4
HIST1H1T	Hist1h1t
IL12A	Il12a
SORT1	Sort1
IL12B	Il12b
ARL4D	Arl4d
ARL4C	Arl4c
ARL4A	Arl4a
C7	C7
BCMO1	Bcmo1
C9	C9
EXOC7	Exoc7
KIAA1958	E130308A19Rik
C3	C3
EXOC8	Exoc8
C6	C6
OPRK1	Oprk1
C5	Hc
HDGFRP2	Hdgfrp2
PCOLCE	Pcolce
HDGFRP3	Hdgfrp3
SCAF11	Scaf11
LRRTM4	Lrrtm4
LRRTM3	Lrrtm3
LRRTM2	Lrrtm2
LRRTM1	Lrrtm1
EXOC4	Exoc4
EXOC3	Exoc3
EXOC6	Exoc6
MC3R	Mc3r
C2	C2
EXOC5	Exoc5
NBEAL2	Nbeal2
EXOC2	Exoc2
NBEAL1	Nbeal1
EXOC1	Exoc1
IL4	Il4
IL3	Il3
IL6	Il6
IL5	Il5
IL7	Il7
OPRL1	Oprl1
CS	Cs
IL9	Il9
NTNG1	Ntng1
KIAA1967	2610301G19Rik
NTNG2	Ntng2
MC4R	Mc4r
CP	Cp
CD302	Cd302
IL2	Il2
PRC1	Prc1
RBM15B	Rbm15b
IDE	Ide
KNTC1	Kntc1
TXLNA	Txlna
TXLNB	Txlnb
CXCL11	Cxcl11
CXCL12	Cxcl12
LZTFL1	Lztfl1
CXCL10	Cxcl10
FDFT1	Fdft1
IDS	Ids
PRR23A	Prr23a3
PRR23B	Prr23a3
PRR23C	Gm6406
CYGB	Cygb
MB	Mb
PABPN1	Pabpn1
BEND4	Bend4
BEND3	Bend3
DEUP1	Deup1
BST2	Bst2
BEND6	Bend6
BST1	Bst1
BEND5	Bend5
BEND7	Bend7
PRCD	Gm11744
PRCC	Prcc
PRCP	Prcp
ABCA8	Abca8b
ABCA7	Abca7
ABCA9	Abca9
MAPKAPK5	Mapkapk5
