Name	Study	CellType
ILC3.NKp46+.Rorgthi.SI#3	GSE37448	ILC
MC.PC#3	GSE37448	Mast Cells
MC.Sk#3	GSE37448	Mast Cells
MC.Tr#3	GSE37448	Mast Cells
MEChi.GFP+.Adult.KO#3	GSE37448	Medullary thymic epithelial Cells
MF.11c-11b+.Lu#3	GSE37448	Macrophages
MF.480hi.LV.Naive#3	GSE37448	Macrophages
MF.480int.LV.Naive#3	GSE37448	Macrophages
MF.Alv.Lu#3	GSE37448	Macrophages
MF.AT.v2#3	GSE37448	Macrophages
MF.F480hi.ctrl.PC#3	GSE37448	Macrophages
MF.F480hi.Gata6ko.PC#3	GSE37448	Macrophages
Mo.6+2-.BL#3	GSE37448	Monocytes
Mo.6+2+.SLN#3	GSE37448	Monocytes
Mo.Lu#3	GSE37448	Monocytes
NK.CD127-.SI#3	GSE37448	NK Cells
NK.CD127-.Sp#3	GSE37448	NK Cells
NK.CD49b+.Lv#3	GSE37448	NK Cells
SG.NK.CD49a+#3	GSE37448	NK Cells
T.4Nve44-49d-11a-.Sp#3	GSE37448	CD4 T Cells
T.8Eff.Tbet-.Sp.OT1.d6LisOVA#3	GSE37448	CD8 T Cells
T.8Eff.Tbet+.Sp.OT1.d6LisOVA#3	GSE37448	CD8 T Cells
T.8EffKLRG1+CD127-.Sp.d8.LisOVA#3	GSE37448	CD8 T Cells
T.8MemKLRG1-CD127+.Sp.d8.LisOVA#3	GSE37448	CD8 T Cells
T.DP.69-.e17.Th.v2#3	GSE37448	DP T Cells
T.DP.Th.v2#3	GSE37448	DP T Cells
T.DP69+.Th.v2#3	GSE37448	DP T Cells
Tgd.vg2+24ahi.e17.Th.v2#3	GSE37448	gd T Cells
Tgd.vg4+24ahi.e17.Th#3	GSE37448	gd T Cells
GN.B10#3	GSE60336	Granulocytes
GN.B6#3	GSE60336	Granulocytes
GN.CAS#3	GSE60336	Granulocytes
T4.B10#3	GSE60337	CD4 T Cells
T4.B6#3	GSE60337	CD4 T Cells
T4.CAS#3	GSE60337	CD4 T Cells
B1ab.PC.SPF#3	GSE75202	B Cells
BB.SP.SPF#3	GSE75202	B Cells
DC.SP.SPF#3	GSE75202	Dendritic Cells
MF.PC.SPF#3	GSE75202	Macrophages
NK.SP.SPF#3	GSE75202	NK Cells
NKT.SP.SPF#3	GSE75202	NKT Cells
T4.SP.SPF#3	GSE75202	CD4 T Cells
T8.SP.SPF#3	GSE75202	CD8 T Cells
Tgd.SPF.SPF#3	GSE75202	gd T Cells
Treg.SP.SPF#3	GSE75202	Treg Cells
